animal_number,lactation_number,ko_lr,ko_lf,ko_rf,ko_rr,max,count,total
254,7,2,0,113,12,320,800,127
453,6,0,0,1,0,291,715,1
454,7,38,5,3,18,241,651,64
497,6,12,2,0,9,309,726,23
571,6,13,2,5,13,28,64,33
627,6,0,0,0,0,92,250,0
628,6,0,0,0,1,31,79,1
686,5,2,0,0,0,50,154,2
703,5,2,1,4,0,244,658,7
711,5,2,0,2,0,337,911,4
722,5,0,0,0,0,117,318,0
723,5,0,0,0,0,35,82,0
729,5,1,1,0,1,170,430,3
736,5,7,4,3,4,253,645,18
738,5,3,6,1,1,293,851,11
747,5,19,1,2,3,208,537,25
764,5,1,3,0,1,164,460,5
778,5,0,0,2,0,54,163,2
783,4,1,0,0,0,453,831,1
785,5,0,0,0,1,36,113,1
791,4,21,4,3,11,331,633,39
807,5,2,0,1,1,84,275,4
808,5,0,0,0,0,29,103,0
810,4,0,0,0,0,273,700,0
828,4,25,0,20,5,308,970,50
833,4,9,0,3,2,162,502,14
837,4,1,0,0,0,254,695,1
842,4,0,0,2,1,219,642,3
855,5,0,0,0,0,0,2,0
856,4,4,1,3,3,120,399,11
861,4,4,1,2,5,162,606,12
868,4,0,0,1,3,60,210,4
872,4,0,3,2,0,280,785,5
896,4,1,5,0,0,284,749,6
897,4,8,0,1,2,201,546,11
902,4,31,9,0,53,65,173,93
904,4,21,1,1,3,125,414,26
905,4,2,2,1,0,288,977,5
911,4,83,10,4,24,293,826,121
912,4,2,3,1,3,278,732,9
915,4,13,1,0,3,246,652,17
921,4,1,5,1,1,249,686,8
922,4,0,0,1,1,181,494,2
924,4,3,0,0,2,88,332,5
925,4,4,0,1,4,192,406,9
929,4,0,1,0,3,14,36,4
935,4,0,0,0,0,91,269,0
937,3,0,0,3,3,356,715,6
948,3,6,1,1,3,437,1130,11
956,3,5,0,0,1,384,813,6
957,3,0,0,0,1,335,790,1
962,4,3,6,0,2,118,375,11
968,3,1,0,2,0,359,849,3
970,4,1,4,0,2,165,541,7
971,4,0,0,0,0,70,204,0
973,3,7,0,0,13,313,848,20
975,4,0,0,0,1,147,462,1
978,3,5,3,8,4,233,774,20
981,4,0,1,1,0,24,76,2
985,3,0,1,0,5,326,970,6
986,4,11,0,0,2,110,288,13
1003,3,2,0,0,0,114,429,2
1014,3,14,3,1,2,407,870,20
1023,4,1,0,0,1,117,346,2
1036,3,0,0,4,0,345,766,4
1039,3,7,0,0,4,302,690,11
1040,3,2,0,0,2,213,545,4
1042,3,18,4,4,4,286,657,30
1052,3,7,0,1,3,252,765,11
1056,3,8,4,0,5,315,800,17
1057,4,2,2,1,3,20,45,8
1058,2,1,1,0,1,445,1065,3
1061,3,0,1,0,1,284,796,2
1065,3,24,2,4,11,294,717,41
1067,3,2,1,1,0,215,712,4
1074,3,4,1,1,3,222,748,9
1078,3,0,5,3,34,306,1280,42
1081,3,0,0,0,0,258,669,0
1083,3,5,0,0,3,264,622,8
1084,3,0,0,1,2,150,424,3
1088,3,1,14,1,1,623,676,17
1089,3,0,0,1,0,201,589,1
1091,3,19,1,2,9,276,719,31
1092,3,2,1,0,1,272,708,4
1094,2,1,0,1,0,418,991,2
1098,3,5,1,0,6,252,771,12
1099,3,1,0,0,1,309,872,2
1100,3,2,0,0,1,284,761,3
1101,3,2,1,0,0,177,630,3
1102,3,4,0,0,1,212,611,5
1104,3,6,1,2,5,294,756,14
