animal_number,lactation_number,ko_lr,ko_lf,ko_rf,ko_rr,udder_dko,total_dko,max,count,ko_days_pc
454,7,0,0,0,0,0,0,241,651,0.0
571,6,3,1,3,3,10,5,28,64,71.42857142857143
627,6,0,0,0,0,0,0,92,250,0.0
628,6,0,0,0,0,0,0,31,79,0.0
686,5,0,0,0,0,0,0,50,154,0.0
703,5,0,0,0,0,0,0,244,658,0.0
711,5,0,0,0,0,0,0,337,911,0.0
722,5,0,0,0,0,0,0,117,318,0.0
723,5,0,0,0,0,0,0,35,82,0.0
729,5,0,0,0,0,0,0,170,430,0.0
736,5,0,0,0,0,0,0,253,645,0.0
738,5,0,0,0,0,0,0,293,851,0.0
747,5,0,0,0,1,1,1,208,537,14.285714285714285
764,5,0,0,0,0,0,0,164,460,0.0
778,5,0,0,0,0,0,0,54,163,0.0
785,5,0,0,0,0,0,0,36,113,0.0
807,5,0,0,0,0,0,0,84,275,0.0
808,5,0,0,0,0,0,0,29,103,0.0
833,4,0,0,0,0,0,0,162,502,0.0
837,4,0,0,0,0,0,0,254,695,0.0
842,4,0,0,0,0,0,0,219,642,0.0
856,4,0,0,0,0,0,0,120,399,0.0
861,4,0,0,1,0,1,1,162,606,14.285714285714285
868,4,0,0,0,1,1,1,60,210,14.285714285714285
872,4,0,0,0,0,0,0,280,785,0.0
896,4,0,1,0,0,1,1,284,749,14.285714285714285
897,4,0,0,0,0,0,0,201,546,0.0
902,4,4,0,0,11,15,7,65,173,100.0
904,4,0,0,0,0,0,0,125,414,0.0
905,4,1,0,0,0,1,1,288,977,14.285714285714285
911,4,0,0,0,0,0,0,293,826,0.0
912,4,0,0,0,0,0,0,278,732,0.0
915,4,0,0,0,0,0,0,246,652,0.0
921,4,0,0,0,0,0,0,249,686,0.0
922,4,0,0,0,0,0,0,181,494,0.0
924,4,0,0,0,0,0,0,88,332,0.0
925,4,1,0,0,0,1,1,192,406,14.285714285714285
929,4,0,0,0,1,1,1,14,36,14.285714285714285
935,4,0,0,0,0,0,0,91,269,0.0
